Symbol,Date,Close
SP500,1/2/2015 16:00,2058.2
SP501,1/5/2015 16:00,2020.58
SP502,1/6/2015 16:00,2002.61
SP503,1/7/2015 16:00,2025.9
SP504,1/8/2015 16:00,2062.14
SP505,1/9/2015 16:00,2044.81
SP506,1/12/2015 16:00,2028.26
SP507,1/13/2015 16:00,2023.03
SP508,1/14/2015 16:00,2011.27
SP509,1/15/2015 16:00,1992.67
SP510,1/16/2015 16:00,2019.42
SP511,1/20/2015 16:00,2022.55
SP512,1/21/2015 16:00,2032.12
SP513,1/22/2015 16:00,2063.15
SP514,1/23/2015 16:00,2051.82
SP515,1/26/2015 16:00,2057.09
SP516,1/27/2015 16:00,2029.55
SP517,1/28/2015 16:00,2002.16
SP518,1/29/2015 16:00,2021.25
SP519,1/30/2015 16:00,1994.99
SP520,2/2/2015 16:00,2020.85
SP521,2/3/2015 16:00,2050.03
SP522,2/4/2015 16:00,2041.51
SP523,2/5/2015 16:00,2062.52
SP524,2/6/2015 16:00,2055.47
SP525,2/9/2015 16:00,2046.74
SP526,2/10/2015 16:00,2068.59
SP527,2/11/2015 16:00,2068.53
SP528,2/12/2015 16:00,2088.48
SP529,2/13/2015 16:00,2096.99
SP530,2/17/2015 16:00,2100.34
SP531,2/18/2015 16:00,2099.68
SP532,2/19/2015 16:00,2097.45
SP533,2/20/2015 16:00,2110.3
SP534,2/23/2015 16:00,2109.66
SP535,2/24/2015 16:00,2115.48
SP536,2/25/2015 16:00,2113.86
SP537,2/26/2015 16:00,2110.74
SP538,2/27/2015 16:00,2104.5
SP539,3/2/2015 16:00,2117.39
SP540,3/3/2015 16:00,2107.78
SP541,3/4/2015 16:00,2098.53
SP542,3/5/2015 16:00,2101.04
SP543,3/6/2015 16:00,2071.26
SP544,3/9/2015 16:00,2079.43
SP545,3/10/2015 16:00,2044.16
SP546,3/11/2015 16:00,2040.24
SP547,3/12/2015 16:00,2065.95
SP548,3/13/2015 16:00,2053.4
SP549,3/16/2015 16:00,2081.19
SP550,3/17/2015 16:00,2074.28
SP551,3/18/2015 16:00,2099.5
SP552,3/19/2015 16:00,2089.27
SP553,3/20/2015 16:00,2108.1
SP554,3/23/2015 16:00,2104.42
SP555,3/24/2015 16:00,2091.5
SP556,3/25/2015 16:00,2061.05
SP557,3/26/2015 16:00,2056.15
SP558,3/27/2015 16:00,2061.02
SP559,3/30/2015 16:00,2086.24
SP560,3/31/2015 16:00,2067.89
SP561,4/1/2015 16:00,2059.69
SP562,4/2/2015 16:00,2066.96
SP563,4/6/2015 16:00,2080.62
SP564,4/7/2015 16:00,2076.33
SP565,4/8/2015 16:00,2081.9
SP566,4/9/2015 16:00,2091.18
SP567,4/10/2015 16:00,2102.06
SP568,4/13/2015 16:00,2092.43
SP569,4/14/2015 16:00,2095.84
SP570,4/15/2015 16:00,2106.63
SP571,4/16/2015 16:00,2104.99
SP572,4/17/2015 16:00,2081.18
SP573,4/20/2015 16:00,2100.4
SP574,4/21/2015 16:00,2097.29
SP575,4/22/2015 16:00,2107.96
SP576,4/23/2015 16:00,2112.93
SP577,4/24/2015 16:00,2117.69
SP578,4/27/2015 16:00,2108.92
SP579,4/28/2015 16:00,2114.76
SP580,4/29/2015 16:00,2106.85
SP581,4/30/2015 16:00,2085.51
SP582,5/1/2015 16:00,2108.29
SP583,5/4/2015 16:00,2114.49
SP584,5/5/2015 16:00,2089.46
SP585,5/6/2015 16:00,2080.15
SP586,5/7/2015 16:00,2088
SP587,5/8/2015 16:00,2116.1
SP588,5/11/2015 16:00,2105.33
