,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10009.519659204529,10010.408437076017,9271.803642193156,10679.644602552135
2,10032.278968977183,10055.548999773464,8985.219713867644,10913.457697220472
3,10048.124677902719,10039.221887157886,8876.086628155681,11504.59185317467
4,10064.208808898467,10046.854883279771,8804.436018495837,11457.487299370026
5,10085.544824339728,10075.92652825574,8605.370472923301,12018.241787847892
6,10105.919998258087,10072.941410805817,8482.365701916811,12036.792245455876
7,10126.368475100857,10106.89422966319,8281.095712455342,12356.51843377588
8,10143.449831112994,10075.185877065356,8152.679209022897,12361.133306349548
9,10161.1739914033,10106.794880001613,7838.900961035091,12446.077737828231
10,10186.002026531709,10113.783994465266,7814.984733751218,12781.419901482366
11,10196.706444706679,10183.67872297904,7996.518826059573,13340.872211054948
12,10216.650004161258,10150.661612804348,8065.543204493813,13682.304429099571
13,10225.02166800121,10175.26229457944,7938.519399298762,13281.84312049288
14,10255.430588169087,10200.733619737506,8015.861703938621,13605.253121572252
15,10262.768721058314,10209.813211929948,7649.7793881345515,13347.043609985318
16,10284.629995760424,10246.22549173789,7493.82171639592,14297.778739377307
17,10314.38232702897,10280.222012825405,7581.666020192241,14284.855629392458
18,10353.887578350323,10263.519591283093,7586.4784944181365,14803.917154659137
19,10365.033888796066,10314.087681262,7489.423707111181,14819.9837333966
20,10369.483837195217,10348.970439230055,7538.386667541576,14708.3492219386
21,10410.27123929136,10383.278670846066,7324.378243140447,14879.332944688857
22,10425.67498650272,10384.397163999385,7407.970395661015,15259.248493057956
23,10445.511742046883,10425.298848021444,7229.706078702327,15178.70051824305
24,10482.217914476256,10432.484253014465,7181.270403651117,15119.754217555428
25,10511.945646921418,10440.79038063354,7099.627744471073,15125.337770697937
26,10530.134160856824,10422.873080958143,7153.560515454672,15642.572367756686
27,10561.979852524728,10488.470883031536,7162.5430224782785,15516.025646556098
28,10574.79451326029,10478.272297474337,6940.043292380766,16308.977608820654
29,10613.27318847977,10516.024351493083,6912.857187321213,16532.766867814804
30,10634.04780981553,10520.748099328232,7149.229725590301,17125.04753974116
31,10662.009192291163,10553.240707026844,7099.079660137026,17936.630995159183
32,10674.79068998917,10569.838915522136,7222.269022331347,19059.49752950831
33,10694.795977565944,10584.806770541765,7320.938612367601,19915.72949636788
34,10728.200791803161,10615.594516893685,7308.425566269525,19342.486723210972
35,10739.826606471845,10624.024021034827,7201.22217645964,18911.428485049066
36,10762.26563440533,10638.883152585999,7032.246966824082,19268.532936449894
37,10774.625480142386,10692.023938138505,6984.132282950411,18915.360882685232
38,10793.575789579554,10695.773328644893,7039.040971624553,19455.811237953803
39,10812.80836785253,10706.359821233928,7120.648394888297,20076.91329156445
40,10814.46938755639,10714.641500263975,7150.688590495365,19881.824310040276
41,10837.486051236527,10794.191517016514,7182.240454217053,21081.72047774763
42,10873.178451304337,10799.305425580696,7060.215329566182,21812.127316730748
43,10877.592463611365,10855.854511692623,6789.871078416157,22221.225845032797
44,10890.58795650285,10884.989988342022,6705.283657670745,22550.730788829744
45,10921.630078297852,10852.226549871608,6969.895462085093,22986.1345169029
46,10924.896493035536,10793.35374429066,6803.371220453063,22008.382734189952
47,10944.296285398192,10875.43922874672,6568.187229002618,21386.849854986078
48,10975.74581481695,10919.971209516725,6496.679980284035,22094.776741171016
49,11004.987020541288,10953.598290718926,6568.293266010617,23428.366495687907
50,11011.524096813639,10974.104720479878,6619.850573001099,22752.630359238803
51,11043.607686286903,10985.541675898083,6605.840667544953,22932.688791818357
52,11059.47025721243,10956.424233897164,6439.607295121263,22407.9557627143
53,11077.314785509443,10965.159639743353,6301.216572667137,22323.110557298303
54,11089.5257002933,10983.45233422442,6091.35762109991,22396.697083537947
55,11115.018755375842,10999.818286322012,5938.376897392035,23311.093661378898
56,11122.540534715512,10999.432090677696,5978.043851184842,23557.455343506364
57,11156.252517348577,11089.587278815887,5822.919458015482,23309.329507850292
58,11166.66369404805,11077.560158434246,5778.0948642358335,23489.645822276714
59,11187.84287098113,11082.60031471649,5952.7810414125,22918.2411375443
60,11202.990660870253,11085.233533678007,6093.587341258939,22009.9516578808
61,11212.814901111222,11056.051147897917,6156.5405848757655,22367.091158492192
62,11248.67584369777,11143.848993321148,6312.009254103884,22680.396294908558
63,11258.973146067434,11066.31019826204,6161.800556381554,22001.368503242942
64,11264.279017727007,11111.341448123956,6115.282031228362,21425.930622538894
65,11294.235618476305,11083.76665368534,6192.4378856955955,21624.62950661832
66,11301.244439517863,11152.299565233656,6463.806019454075,21779.159725811784
67,11315.454686757352,11145.260428601396,6437.066523942698,21234.477865590008
68,11353.723517811908,11214.670890166402,6421.009655053252,20678.869469119185
69,11393.959174422735,11225.736693558189,6272.651766417978,21386.170681008454
70,11401.496203353343,11181.44326979218,6367.274595023425,21300.176213753944
71,11446.153626575657,11205.67277822991,6357.569294841868,21710.01345409455
72,11478.106467878584,11230.999761549147,6358.282053224779,21220.51696589582
73,11500.513218495957,11295.924916143053,6451.84816901413,21473.036782141833
74,11508.719962224639,11241.130331910841,6462.216652322926,21705.688879888326
75,11522.613434958543,11208.539721561132,6426.68547755707,22003.889206495995
76,11526.565181842676,11163.800491529439,6200.128565670779,22059.64461328036
77,11559.123860826545,11137.162339704286,6073.686830735584,21635.675888358204
78,11564.006556192586,11167.549633146857,5822.755323415493,21431.000196973324
79,11575.1583292789,11238.800644250128,5836.170200827319,21462.831602900456
80,11580.538692100767,11262.49080430596,5875.115868892382,21796.45546706945
81,11616.162544509649,11334.606510984573,5821.767848902414,22197.84331845786
82,11636.404570510884,11432.181464089717,6028.851770086684,22786.018433059864
83,11639.542032720497,11299.353751219283,6107.2589773690415,23058.966846522093
84,11652.509826881105,11380.626623782779,6072.282721534794,23438.070447831407
85,11674.735544163186,11351.406447785774,6024.288081427907,23341.73109029885
86,11692.67296975029,11348.439324803148,5869.136703672919,23517.468241680806
87,11708.04948519838,11327.08785855455,5814.795750201622,24618.84797324761
88,11738.778969324907,11329.183599555488,6149.873427831965,24492.49735343746
89,11769.85780264388,11321.66205565607,6270.886219023228,24978.716352911273
90,11800.636485107845,11381.630011993593,6180.9499452249975,24419.74420507822
91,11801.551153196931,11400.291384020229,6138.989916557393,24616.560409961417
92,11835.470959148084,11419.942716129295,6177.150160158605,24035.910090366724
93,11823.085300094996,11475.998070670275,6180.983481297496,23810.759347285548
94,11846.75519421108,11466.249530058836,6080.971777880737,24182.132161183858
95,11871.516677916996,11537.274913755411,6024.699565777985,24080.70558238943
96,11891.637690979653,11503.962175519771,5965.476360474391,23827.2488067283
97,11936.93126448161,11511.044482549076,6031.276306036528,24063.137773238403
98,11972.324486977013,11471.69154538726,5859.4142202111725,24576.82747429594
99,11989.03639200253,11553.406414393885,5850.017710547129,24837.072155615497
100,12008.22733715689,11567.63430750666,5985.71100019254,24225.735946004002
101,12007.125650448143,11569.107587444294,5979.79511315905,25159.179316049278
102,12025.207145543924,11591.39710099308,5891.941405025071,25011.364213096564
103,12033.96602691515,11643.664184556335,5505.522349820413,25496.42150303924
104,12060.187863193876,11666.038093699794,5584.478236075675,25732.601849425566
105,12063.503654642718,11651.063336266061,5475.799946306425,25447.59545050748
106,12081.425393847125,11768.405972403456,5253.194778555681,25399.24419589843
107,12109.811721114718,11874.328738243332,5169.157849142877,25544.6331964084
108,12154.004178553942,11877.122129378979,4998.729964604542,25360.354842912555
109,12172.376612777094,11759.465310382708,5036.782950121711,25059.189956450497
110,12199.801921100228,11852.06619400387,5188.982207490053,25654.46570172228
111,12236.287240868147,11842.511681511305,5048.894849323478,25040.40007273367
112,12278.580769563887,11924.04300466182,5032.963160228414,25474.63290410865
113,12299.901691502515,11900.967234964943,5194.781793809693,26135.361475603684
114,12329.645382592593,11964.641405284578,5412.452373542369,26396.509191679907
115,12335.79640577829,11901.254625322912,5178.759562489521,26257.703330190197
116,12342.084524682668,11879.548729565406,5260.716130189079,26656.976365620427
117,12323.967725346276,11807.033836272576,5226.280841280524,27544.31546991577
118,12360.251792447376,11879.320046565244,5043.2797958720585,26747.97317755773
119,12390.800302077405,11889.931351892594,4896.24847955617,26521.481904220247
120,12425.333122862829,11945.940602883098,5025.824740300891,26078.87714367773
121,12439.642845755901,11949.204057953295,5052.536375952125,26278.5813442291
122,12473.109392082595,12044.646344714725,5124.82532930425,26808.68102345598
123,12503.72484127378,12099.10410396088,5176.097771958496,26690.02620214
124,12532.508709548305,12040.269596006672,5333.93290297313,27640.69256979362
125,12542.746249598327,12077.756514276476,5463.106219646216,28029.963698518608
126,12592.616712381481,12141.54281730467,5353.448109411456,28536.641900446954
127,12585.384354939284,12015.342396270353,5383.220315014028,28189.854224907653
