,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10022.526280884082,10021.930584624359,9353.658703231256,10681.390001358992
2,10043.273773230916,10027.65748348605,8908.419364977826,11308.59551427115
3,10078.01170746636,10089.16715995968,8897.833991804206,11369.312706176925
4,10088.08709887717,10081.100076146084,8745.548022585814,11668.427590045265
5,10103.437424650472,10108.256898707763,8532.839663224702,11678.411805387397
6,10113.910844477048,10097.539330211723,8491.45185775478,11939.159967670696
7,10142.497972746249,10149.09174408479,8594.079375173847,12007.329631328928
8,10166.161684440965,10166.946779049129,8508.060069991068,12352.626294817781
9,10179.086358093988,10170.02779398369,8281.364036583267,12320.861134984527
10,10224.832208747985,10225.420065030266,8279.559924631521,12464.73729594416
11,10239.051966810233,10238.144307030961,8184.497975987868,12472.62969427338
12,10244.365804682679,10253.350475636416,7974.1752615905525,12949.016665255444
13,10260.664641838386,10247.104529227458,8038.155880018791,13027.614975268836
14,10282.479900747661,10236.209416989579,7929.955839759995,12766.471433889828
15,10276.557916414402,10293.593808048217,7805.898682860836,12965.155711313348
16,10297.343836028036,10333.101204062224,7514.752250167982,13150.996155368995
17,10320.400087580176,10325.614988691857,7468.158456426179,13362.002026023041
18,10325.814578827763,10293.378484889367,7251.320244596696,13593.118736012046
19,10347.716223140033,10315.758232944909,7178.286487393198,13439.171153509224
20,10364.295204214273,10370.472339861912,7384.403958980096,13306.361862212669
21,10374.536494494707,10399.269011780189,7177.149590769782,13607.101203751741
22,10409.00898427586,10436.253291330031,7034.830109253765,13792.528946251628
23,10439.997962489599,10473.626995773282,7165.0032031508135,13572.33973899584
24,10449.673112717197,10487.51574474196,7121.16696406322,13848.025470576822
25,10467.293257571864,10495.538411755175,7117.691382094715,13968.831691035613
26,10494.430818435909,10534.663990199533,6995.043325291791,13937.671025434442
27,10512.751528680721,10559.583734428099,7054.861347323514,14220.540812071498
28,10532.688617131913,10541.360936612411,7098.9389237212945,14738.268440996839
29,10552.823079484264,10531.772837686302,7069.063974154468,14758.693072042464
30,10592.290430538013,10508.576416664055,7262.107882356089,15069.934740685145
31,10603.369182916087,10570.688847173016,7330.1150638654,14874.88812356587
32,10633.185902502059,10570.345264337035,7261.560452263592,14948.16648701384
33,10652.231615691178,10611.632768234205,7295.427003955667,15173.78364773869
34,10673.702386460507,10540.055963317503,7283.2687835097095,15073.265686158566
35,10701.916912989302,10625.17240258504,7153.357595131593,14786.721214337502
36,10721.464656961523,10639.588881178814,7028.670941694639,15194.005518373157
37,10748.84156559068,10714.542503865776,6999.83438904005,15747.630351156193
38,10765.75709942906,10692.553339470976,6933.584961557562,15598.942325675618
39,10785.179587470957,10664.078858476696,6729.542377647787,15402.677026708687
40,10812.978947364832,10702.272954362386,6722.550977357648,15371.791210011059
41,10832.080279543055,10693.838642203986,6762.453615740867,15362.605473052397
42,10834.951625772335,10740.262301043218,6767.827870688106,15545.665274173562
43,10851.591073363636,10724.280516172981,6830.4345068079,15812.85416271379
44,10877.427249165941,10759.409844507045,6808.248346329156,16430.462112868307
45,10877.413867007746,10727.569459788641,6507.136583421741,16269.483631793504
46,10883.158646058868,10692.251037391623,6735.617730385481,15991.39767571747
47,10906.345171930625,10744.013499156214,6876.878157065015,16320.701779610727
48,10943.314813950054,10747.001373913714,6726.894396198403,16261.37319075737
49,10958.814457137876,10862.68000769762,6888.8918525913,16945.570348539506
50,10996.61122184347,10824.149256938494,6873.040908711221,17107.569807410924
51,11010.596245190576,10844.520000626642,6867.423024871629,17191.96590301618
52,11027.090284518225,10882.741333313708,6625.489188090263,16620.52467186971
53,11045.702799037295,10805.392120708959,6723.576171133533,16655.75237732592
54,11055.391770456657,10866.0539544017,6728.822509718237,16690.895905942558
55,11069.093128434137,10859.761466072669,6732.840159641535,16845.741630014887
56,11107.783298384067,10902.641071034172,6742.869787374606,17353.931217946396
57,11131.799898035297,10890.002413419188,6736.144411459609,17257.80657082856
58,11164.327882537955,10933.644146499233,6968.240981287025,18369.431596126637
59,11191.857700838958,10900.371012134647,6813.366375881411,18447.58861526976
60,11206.152317862652,11029.295122070182,6851.488927032633,19049.324439196433
61,11227.286278457674,10952.19765718875,6751.5728272532,18869.46467862712
62,11258.109997986798,11051.522629810364,6733.22786223403,18638.555478054874
63,11304.678311216001,11081.296924993252,6898.06727941869,18764.692259943076
64,11335.573723569365,11153.617586724835,6892.738570683166,18671.896399881018
65,11365.90450460892,11109.05148917833,6742.990935022871,18979.06432904119
66,11378.918771087447,11131.554449182462,6685.589393221334,18170.929740477142
67,11385.445494511188,11230.66330624553,6686.330515064169,18616.108220203943
68,11422.8463080239,11228.134723118654,6706.54772158887,18772.787930763585
69,11443.978682562694,11194.681961959866,6719.351742626735,18833.037066105957
70,11482.09478741297,11179.372922582283,6641.6106225452295,19002.64149349176
71,11516.696592977214,11173.620576591498,6512.806167547057,18988.825150171495
72,11542.739267211997,11215.16961163171,6528.071611394857,20226.665175192764
73,11579.247890111646,11219.482298863279,6348.037994972472,20191.91696319536
74,11581.050328008378,11289.558453195228,6376.571364219787,19753.28801830454
75,11580.4412497743,11367.805836056485,6208.103037088709,20986.21246608489
76,11597.206595282938,11304.570528863951,6163.077281675495,20485.823000988043
77,11633.321644640642,11355.119681791924,6330.65047705977,20219.841266817548
78,11646.70673801568,11325.748499771502,6178.469028698543,20297.176035211156
79,11653.132445178113,11378.050411005017,6203.541312330585,20713.144681881968
80,11656.85289940769,11508.115787162347,6181.529275145517,20416.19011532643
81,11671.286488185211,11505.596071527982,6146.381027504253,20949.171868515492
82,11688.738774871563,11460.838525549236,6049.2376021691,20912.09202551047
83,11697.149165751094,11510.892667096374,6161.981762227576,20561.52335683033
84,11723.75700158976,11523.101883653017,5925.091718730874,21068.160162997247
85,11742.058075943649,11514.864038457259,5727.437345417764,20941.10890940807
86,11776.20100986112,11501.997931913334,5723.298143138104,21043.61067542894
87,11797.477325076445,11533.328876991322,5638.899549374298,21700.931671787166
88,11822.468463251527,11578.9966695431,5804.874098840127,20732.836841973538
89,11817.813146334911,11506.20184768992,5757.456231187744,20953.828925837974
90,11842.002805192837,11535.404450887916,5520.867119791703,20449.424684563623
91,11862.307234506912,11573.538710539277,5460.918876658197,21029.45637029326
92,11870.580394254675,11599.177962633159,5392.792788373366,21181.441244262223
93,11892.731480178447,11626.23306718172,5310.169500211114,20760.635959573876
94,11903.63247869212,11588.900501238593,5264.485711963778,20514.813674942125
95,11931.583256608039,11650.790951275689,5257.45578992845,20234.99459584706
96,11956.907493271829,11609.661413971906,5418.269550793625,20126.180256003616
97,11977.72439713616,11602.234372316636,5394.179701034592,20901.278836919515
98,11997.793611023684,11663.33430282963,5419.386097437277,21280.015882820648
99,12033.621024475131,11665.137850348427,5338.690826466749,21476.084028540285
100,12045.526283961128,11598.637089304615,5275.570558384872,21835.220470186487
101,12080.80902244696,11652.695689502514,5268.509585100668,22025.25516197245
102,12128.227587523115,11762.15496841518,5157.068091854599,22040.34221275416
103,12148.509623280084,11809.68875376465,5143.859916149981,22681.638836489656
104,12157.893520537073,11756.241890599593,5374.904801804138,23205.828056140588
105,12164.259072036066,11802.800337036606,5455.775702285291,23512.424778301338
106,12177.824385077773,11743.377073140957,5513.019767308049,23917.923377127667
107,12204.60345796749,11787.869254548596,5475.485303379969,24076.311813258366
108,12237.875134519269,11682.574291470588,5573.459237527998,24667.384723581497
109,12267.606678753473,11790.156098383539,5607.3659170280325,24823.21959006098
110,12274.50547610381,11731.501584084855,5561.276829839881,24771.369834745652
111,12279.515160895211,11770.496477771914,5592.982826466814,25107.199570069664
112,12295.898809486991,11842.172572514004,5723.4229965178465,26087.957820759588
113,12346.040507622305,11792.958513318803,5522.199664517975,25736.771997078416
114,12368.86467365654,11930.725806604438,5547.1653425623035,25355.64862000395
115,12382.922601252536,11885.187782099953,5415.608043734066,25784.565157923163
116,12428.631497067174,12084.21823887186,5470.112416143715,25941.856024169632
117,12449.679800012818,11981.403845912424,5696.617665548659,25895.052908054793
118,12469.129790799594,11965.925523100846,5513.466804224866,25125.630978496458
119,12502.461951644627,11974.387357670357,5465.684071380897,25025.30620207551
120,12558.317466004188,12098.683342853441,5724.958802800406,24856.907964489707
121,12573.091255467383,12095.858710446983,5591.080343666011,26137.911373252784
122,12604.936590400268,12139.7319716883,5827.538694879937,26127.343822637824
123,12627.85495835596,12222.39299520694,5844.027554837809,26343.044532947282
124,12629.524939890462,12234.418034413386,5812.912680695381,26281.042848298428
125,12665.626233110663,12348.151377955974,5939.859766986655,26267.389761507424
126,12716.673091063669,12408.762447453795,5701.320852353319,26022.48206106227
