,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10013.917191067612,10012.193836657721,9109.298842402091,10821.8582979642
2,10036.823019308806,10024.253188035125,9021.340667375414,11098.847349936605
3,10051.825819975702,10027.404115263289,8767.113255696417,11432.439729612734
4,10058.275834240829,10048.28242548422,8710.918069162833,11650.32419551787
5,10070.883982506111,10068.891824400162,8658.81100136734,11906.737536602339
6,10084.330075563586,10072.607750629117,8440.838212788822,11931.94926373945
7,10103.231467681477,10064.162807466399,8076.724929585633,12237.883347117597
8,10131.20369466997,10102.44206277573,8213.385153173744,12577.386658250243
9,10154.540198648074,10135.856255148212,8218.408936509031,12565.549054995488
10,10174.456158318977,10174.99016443759,8059.4090559187825,13019.248693125446
11,10182.119468903413,10172.798532513028,7897.693070069693,13106.191632012351
12,10205.767273245758,10192.275167848387,8047.544452322316,13387.967268574355
13,10227.911677197706,10215.743700853309,7623.998707733319,13708.816129817014
14,10241.720699589818,10224.770676115359,7783.217504925253,14306.241413312955
15,10272.56056381671,10232.156437117466,7730.217309322013,14624.697760349427
16,10291.230187490592,10254.946679204635,7330.438282172399,14315.192103996163
17,10308.42037660157,10252.842966858749,7282.404529859488,14257.37838193231
18,10300.48365463966,10261.767007198932,7398.470251797909,13759.735782978682
19,10319.867322835344,10280.296624290437,7466.102961594488,13982.726519896067
20,10342.583724310738,10325.104770721975,7439.050947240061,14265.717155216258
21,10342.377323637294,10315.482678398213,7386.332651987797,14166.354713744242
22,10371.175218101447,10383.136108878356,7525.985946388293,14157.652710196931
23,10401.65428119848,10368.404896387414,7396.555540183615,14527.336764064656
24,10429.580051426308,10369.202946388123,7329.050800705967,14499.374497574252
25,10425.273356254476,10339.51835638496,7258.646369533729,14699.69693145253
26,10447.422809220578,10344.227768770064,7343.324331639642,14547.579144135918
27,10461.7028801445,10308.290587815869,7563.359049443063,15197.776842955975
28,10474.214019099736,10378.76734206959,7490.526277092937,15515.708703320355
29,10475.373986668752,10335.90907192829,7581.868710243115,15451.910878276556
30,10505.0018667364,10368.5927538754,7279.536892718495,15111.98455184367
31,10526.883053133852,10423.4458731224,7244.278692952914,15580.778963066148
32,10541.409541970348,10426.293131737477,7396.888313025015,15409.546388160265
33,10561.19261101884,10433.159762342137,7100.5819439901,15902.293123585516
34,10588.220803428885,10450.639233574831,7126.707400100547,16263.662015397435
35,10613.581690712137,10483.258086972986,7133.100014251815,16659.879058186725
36,10634.422384345206,10444.369550792926,6899.472684208764,17288.82420018943
37,10665.320052235946,10516.652300787438,6660.895580683037,16759.88942203876
38,10663.103236067665,10505.350634783208,6833.838977700864,16471.63412551359
39,10689.588802116437,10513.23390163443,6734.36300268587,16661.3311227044
40,10704.341670489268,10543.83356769379,6620.198049460959,16482.32330908543
41,10715.592059013776,10576.075214062492,6330.429193314635,16438.05061617073
42,10721.232832345115,10618.417918002619,6255.099999451649,16956.301201654827
43,10737.204473707967,10624.595230829978,5980.019894431545,17390.91762725821
44,10735.214564173391,10623.520425386856,5898.26171829467,18140.250131429635
45,10751.297035584954,10595.784995674829,5766.351075861834,18468.375816217376
46,10774.192715308978,10657.25539614095,5827.86404906448,18574.035757089863
47,10796.842847960752,10656.958494168242,5734.997367813965,18603.001888098952
48,10830.533211223927,10688.759596990356,5648.096205267647,18543.223590300448
49,10834.43187156762,10684.50876336971,5709.0508736244265,18757.281907138266
50,10831.83306027441,10661.31898447581,5712.30059219099,18777.358875057023
51,10842.21089044592,10693.993392567721,6127.375346018136,17787.866509926214
52,10879.791677860136,10736.428193082513,6284.241369923311,18410.38336395342
53,10892.359709653287,10742.719174333826,6111.863087069856,17832.418745282357
54,10914.099122735657,10683.191619298874,5928.289061934555,18253.52312464956
55,10943.110796050543,10753.113437958827,5960.7863123353845,17725.293516156446
56,10962.193487081442,10733.274845029955,6236.285104007622,17851.171486806346
57,10973.132847335663,10764.235913766763,6213.375981092356,18095.183840964473
58,11010.44794017466,10701.633034909284,6333.397910659471,18554.61351511096
59,11015.853598070657,10804.188022698287,6203.634414450628,18926.38573130847
60,11019.509717110685,10830.023041455317,6249.901325705642,19044.247140900075
61,11034.557105436215,10763.128378131289,6280.362598433249,19425.982236673364
62,11062.641563480369,10822.619342844722,6488.752694899841,19639.68094769623
63,11091.380587163854,10857.985800873897,6478.0147594046775,19399.958622653834
64,11110.743888291798,10814.541224570457,6483.928708280915,19634.96740657638
65,11139.592032056347,10858.896034083711,6506.3667981367025,20102.162358643138
66,11170.265502368671,10893.153753051693,6551.275897753493,20065.50943682007
