,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10004.713617156154,10000.477509206841,9324.101546490074,10677.932572839674
2,10031.263718413124,10028.004626488706,9006.548569549535,10909.48463643053
3,10044.714081699849,10034.932372052383,8997.169046971505,11380.00433017255
4,10047.482907549613,10041.97472397171,8762.346328696105,11721.638952230325
5,10076.535619215645,10075.217365169628,8552.856249272641,12167.473147653463
6,10103.96958039995,10091.364704897116,8252.871063403592,12441.68144859761
7,10134.401195069642,10136.87816728174,8278.75558653207,12841.54748925397
8,10150.96502906815,10156.75763323411,8039.02314302425,13063.171985389714
9,10172.223062021982,10198.508564323181,8017.71002655402,13192.302371665317
10,10183.385994226695,10176.888308768008,7836.625570099147,12670.61368301301
11,10224.658720647192,10181.854690743023,7840.945958735956,13004.726980338772
12,10228.630213831724,10152.870709855168,7658.8276870495265,13639.650875291414
13,10246.854015057723,10206.207057195921,7506.162789518957,14031.67907172476
14,10248.009321513891,10211.681992583619,7482.718863954713,14117.079723070152
15,10252.170402234617,10241.84216069601,7361.4187801060225,13708.278864947517
16,10264.061727448645,10214.457944024894,7373.676933844139,13759.939521031443
17,10275.306608024244,10261.585998105882,7543.324238809382,13932.418572496992
18,10305.896214959326,10236.094194205223,7382.071653162185,14426.066651829307
19,10324.90338996192,10285.250687852576,7378.184840076284,14566.133241153882
20,10343.416499694218,10311.767586039621,7562.03404566747,15018.509182227284
21,10358.044371186912,10306.004637614538,7489.547763002823,14797.014881820394
22,10358.176752406802,10327.45821107259,7464.26206673975,15142.711481763901
23,10368.611080806935,10329.700422769178,7337.300264996378,15022.485388766334
24,10363.347747917864,10325.988941927317,7273.482170919163,14893.811123606432
25,10377.577274578802,10321.902197318905,7179.928508152851,15185.754342386872
26,10387.377280094075,10357.952106961528,7101.476911319088,15155.182703184275
27,10394.118144185764,10339.130792633912,6950.191945030773,15175.883233567114
28,10389.749396661708,10323.485932227086,6937.770879714321,14679.446902220285
29,10404.075680807066,10361.469731322202,6768.708122794365,14739.521715850524
30,10428.951520466659,10329.071480113875,6767.904628831348,14924.090239666042
31,10451.58494750458,10338.404216241237,6618.721342479492,15402.38251787042
32,10474.921276852403,10359.600572784791,6403.110909374391,15064.982441804785
33,10488.019089487438,10378.659184936514,6510.930061882129,15823.569145078362
34,10508.090837483944,10364.262748179663,6591.182194923051,16356.582606601074
35,10530.577746942568,10356.662550028384,6650.348918628244,16414.728624059826
36,10530.709097573455,10367.2567734769,6306.921992794248,16758.76300489775
37,10561.93591208934,10394.70134401877,6167.704625598304,16567.18690929174
38,10600.0988412808,10443.935402695797,6316.192855065302,16730.60891646006
39,10613.977611076049,10496.227119453768,6223.612623251091,16900.407937720494
40,10610.64758722233,10487.828006038371,6104.540804533527,17285.799284625355
41,10653.168531249697,10493.901125310958,6070.222989676398,17226.208413179946
42,10663.94064094501,10574.579282754945,6035.89248173298,16869.251187773487
43,10681.094409314743,10540.333720162556,5838.344168867665,17048.90787025332
44,10699.32060216938,10543.693614942911,5783.377505719592,17074.921321631165
45,10722.136434750379,10603.061682288155,5630.79683721045,17033.30164284973
46,10724.989642790464,10572.363435929426,5515.464161263015,16488.269089521327
47,10744.452403481595,10568.884776295514,5554.927232478986,16444.835189074685
48,10762.14360091725,10606.388432539203,5741.205883074638,16766.311936345883
49,10785.952104262888,10643.0073157895,5878.57304413202,16223.376489194357
50,10785.281746751836,10639.759972761516,5954.328424420959,16244.457714540542
51,10794.590308136325,10668.188020688747,6072.758025928815,16761.93103747739
52,10795.072884442185,10599.175754506528,6121.792451213467,17159.961068786204
53,10801.852295266195,10620.126902525688,5863.33911346689,17618.481970944104
54,10826.884094091549,10625.436411115723,5744.662393608319,17890.026657174552
55,10871.210368477254,10678.300290769153,5956.63731433167,17625.732082824652
56,10884.28373933579,10783.875984273114,6056.930991451273,17261.670559315105
57,10895.010393871742,10743.548523567848,5988.16945862624,17974.266020095853
58,10916.45794859025,10724.79865814393,6038.615463516983,17920.09001721227
59,10928.543193681035,10714.187982972397,5986.570767896144,17939.694962387643
60,10931.338247437767,10727.471477921661,6086.265984476103,18449.12750112723
