,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10000.900963179214,10001.499873102424,9669.158435232894,10397.017601680496
2,10006.582273925063,10003.841392686758,9531.766340595868,10496.526992246922
3,10006.434063612262,9992.453370437244,9523.823376458718,10639.081510037378
4,10007.023106243732,10000.16966030216,9360.250821055866,10759.074740919572
5,10009.382316425084,10007.321103156275,9340.131129636442,10849.101008743755
6,10009.333012172141,9993.17695292746,9252.432278308981,10897.98372975197
7,10007.341865498904,9991.597976809962,9146.973760789751,10910.815658463416
8,10001.010323129167,9998.31782617654,9174.643971658094,11014.945340061853
9,10003.669686988864,10004.39742873648,9020.215349186781,11060.669772728825
10,10006.35864071534,10022.121190000169,9019.599209671016,11121.539474149684
11,10013.534580076777,10036.013708898885,8913.073546398487,11171.642754191711
12,10016.050344038367,10026.23587773424,9000.581310782098,11160.763124154922
13,10017.271338275958,10025.097063834108,8951.571873390618,11192.726664223263
14,10021.620344872787,10034.911180612069,8754.153093642455,11334.52750295387
15,10016.084898104958,10025.43203503234,8745.86683656309,11442.619205774568
16,10012.023925092624,9987.212560788565,8685.659539045168,11445.915524712
17,10016.886023206855,9985.917401554558,8737.164059781773,11574.738686641507
18,10030.655105418491,9993.522404366235,8762.736676803128,11554.114036970834
19,10041.917763091586,10027.084902883222,8623.646746380698,11834.73478815354
20,10037.791538183788,10042.704632263212,8621.600590734166,11689.362723298484
21,10037.20962547297,10010.702310698565,8619.991095808451,11755.555977290334
22,10041.450224642664,10029.675805768153,8625.423947457199,11865.242889145813
23,10042.512246566068,10029.381197200531,8599.14075114029,12153.768446273465
24,10037.664591048737,10010.020812930803,8521.234309622067,12133.109549452203
25,10035.380102064986,9980.822697258265,8532.035915903429,12163.213227032253
26,10041.4410173825,10006.174082202851,8441.456041210065,12027.943752505558
27,10047.660985159959,10007.185153449002,8481.253116306481,11957.640722992517
28,10057.304793863666,10020.50971358852,8531.338250896824,12301.138947219166
29,10062.551796582153,10031.456752368093,8479.769853183598,12334.086907676532
30,10068.352111926717,10030.782180191261,8410.31499656182,12146.01934434664
