,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10003.859521640185,9996.90739457222,9355.705155713094,10742.274409760548
2,10021.282006828713,9996.985948335141,9209.714171369033,10909.999167506512
3,10043.167232129012,10042.707840952224,8840.583262909116,11388.758179099634
4,10044.817257463588,10020.845658262668,8617.984191469863,11937.898106733415
5,10065.745466997756,10056.811622115558,8312.765144275734,12448.160626963287
6,10094.435372783539,10061.627118927443,8531.54031502544,12631.468216884874
7,10117.977607018429,10118.675358111606,8113.553127284523,12572.243168228391
8,10147.001143004481,10104.501473359316,8148.770040322486,12803.540472000454
9,10163.78182093984,10151.135360047474,7999.887423287172,12793.304346959601
10,10182.585824965343,10142.580326085234,7916.839036075484,12765.94186595988
11,10196.968068910808,10159.24387204498,7953.588491811171,12503.718366171315
12,10201.323786426361,10138.619998416969,7682.793379437206,12536.033252534178
13,10208.500711754186,10141.51558218209,7620.1283394254215,12817.861815184508
14,10229.615213836787,10215.303764525483,7546.208237845102,12891.761127574833
15,10265.432568383214,10215.922617570604,7323.30741218014,13401.362928073562
16,10298.018307308635,10224.168508700353,7315.732120527857,13148.507132531933
17,10310.996126365208,10225.464106083195,7395.5295594449135,13251.79761811657
18,10319.946015992457,10248.300299354598,7506.612149389705,13373.78588776537
19,10325.390920393256,10300.225196162879,7693.399081762952,13485.313832435271
20,10346.888119052397,10327.965345135604,7639.010130521815,13467.978696814347
21,10369.891982487388,10334.120155056495,7589.330043986018,13453.692298564767
22,10388.829873139362,10388.977564403089,7629.655068328878,13607.170995785807
23,10407.805860906754,10394.903245846572,7672.096268352496,13727.810226179075
24,10440.037630161763,10440.798317203034,7607.854416113216,14107.779481874977
25,10452.889288627592,10444.764027829164,7680.325519586857,14664.86332375933
26,10482.725264520008,10464.789947620782,7602.698653864608,14508.07690326042
27,10501.181515486795,10501.228143300183,7545.640844653356,14711.398938726492
28,10524.562072742836,10472.625357628305,7498.535167821272,15024.738906686765
29,10515.07772921108,10400.314172838525,7470.850246623359,14872.85168001227
30,10550.658715095065,10479.605801136351,7343.148650865691,15082.94938167291
31,10579.27842070653,10478.368580413993,7211.392668198037,14979.008113376402
32,10612.409457768743,10508.94309660222,7399.3978534008365,14994.89419763181
33,10622.148856572869,10510.429280767783,7146.87600382402,15366.941784524326
34,10647.428655067324,10618.380526697969,7486.804510845002,15352.398024217386
35,10668.35756002367,10606.91726877013,7125.9653771056055,16066.936291586817
36,10699.114259736063,10686.438342618596,6978.997531610568,15989.892755728702
37,10709.705595334372,10590.076269699048,7111.969350432176,15863.221212980803
38,10713.651335892277,10652.706650753862,7091.820938149719,16100.215715763527
39,10739.59242059162,10717.852525132153,7206.843604075291,15994.45276167992
40,10771.433051956497,10769.85061270011,7266.00233225307,16016.755882947133
41,10769.391294144189,10687.24058875557,7033.689847912813,16197.025119642753
42,10810.017763084645,10717.567027846524,7203.299589636207,17096.77301112352
43,10829.521955428732,10797.747003514227,6834.031458579298,17362.214703588044
44,10830.915854994662,10738.168895066154,6443.129628382322,17545.231110823748
45,10850.575655727314,10743.444062957476,6676.749132732469,17565.75224093461
46,10872.998775750575,10825.896729858863,6356.60088827597,17159.59999118403
47,10897.291417118762,10841.976292171381,6323.842289837747,17607.526731170383
48,10892.2393535052,10771.827302339929,6454.444382559471,17928.811350886248
49,10903.404537954717,10770.950848422635,6218.044953646931,17956.85487961649
50,10920.720210652029,10814.05291038897,6023.064907769086,18224.945392894617
51,10949.304227964223,10819.33280778886,5877.276831193327,18720.681296823746
52,10963.233739708476,10789.517041345553,6000.288518855187,18563.091446088216
53,10999.777159895884,10807.616933099142,5766.785500433303,18989.126164827212
54,11027.323902663476,10845.608663235975,5753.540299085309,19022.587438077073
55,11034.9526082768,10873.617739007408,5561.74335650272,19314.894846305913
56,11065.7810652551,10926.842018257448,5945.521544047142,19550.02997212968
57,11107.930543811839,10931.026137544877,5924.760584444494,19801.539060995463
58,11138.81842959456,10989.041031900351,5863.9674670830445,20138.592477710845
59,11137.709565208123,10918.913248486262,5716.258281627474,19747.38053578853
60,11158.276987783742,10965.704240761615,5761.82789524746,19655.567053681967
61,11186.781625917325,10988.410193668993,6076.410319250305,18933.824720142875
62,11211.527072065095,10954.365461434792,5953.965126945472,19701.914035089227
63,11232.896783799146,11009.689323093146,5796.305159078937,20424.25267599792
64,11246.380970869111,10939.661860324337,5862.297790831111,20643.8499178316
65,11269.574741973483,10892.4124969284,5935.248166834842,20693.21972221959
66,11278.470166362733,10936.137954499663,6004.923495892584,20697.20113213169
67,11302.211892525578,11010.659849992313,5709.234524465521,20812.634163271065
68,11331.405400788752,11036.709043069495,5605.864010758106,20572.72165330614
69,11347.053034472865,11042.894075027654,5593.450372407367,21101.608510137314
70,11359.510974249417,11104.909970974008,5645.143941022839,20350.978600068484
71,11377.722073096977,11068.058946009103,5619.01978243662,20200.088529850414
72,11421.53878729768,11102.135771315478,5654.3733984860255,20279.517939977184
73,11422.203885353234,11133.702286060054,5630.579455391525,20109.85797130631
74,11427.817678584805,11095.625854660118,5695.277037391497,19479.138493667884
75,11450.238714428007,11111.339040346464,5828.692231537687,20295.134683408516
76,11458.386347432386,11142.371292540374,5788.218672154671,20247.56511626651
77,11471.550337950343,11187.907493222036,5832.378743394927,20424.549779731624
78,11496.523689411611,11238.376971940306,5765.457650850803,20744.35831751328
79,11530.91193480837,11217.661463233806,5844.892875776577,21209.25228723148
80,11534.004787722846,11212.576515711407,5682.782651439265,20344.672363342168
81,11567.121163899299,11265.278255993593,5671.274139304631,20003.554205368746
82,11595.529455353804,11231.899942914008,5590.375256395931,21297.19672824922
83,11636.401706513441,11263.36898982429,5404.2856877466875,22183.70686380749
84,11650.75495014151,11346.473092117198,5282.219144643866,22302.12722348772
85,11668.856465846002,11371.321816335423,5264.480320246576,21883.026798670126
86,11694.352744583008,11339.436395350323,5237.3597930685,22070.39855264832
87,11691.52227106937,11360.758466044532,5409.000290544686,22216.52121810796
88,11702.307877618874,11349.386031231155,5303.623418182325,22361.536344041215
89,11724.977640746234,11274.818111652547,5258.638309467297,23086.46402041405
90,11751.219941259942,11411.979320360746,5270.923585955499,23554.39623494623
91,11762.173962597222,11298.394918682608,5314.607708094407,23306.55272435831
92,11768.761757941033,11302.024902434358,5478.381183234902,23090.388068617292
93,11796.992744210193,11327.567762086868,5348.643514389628,23081.858174131914
94,11823.17624995844,11370.43384815255,5470.9139740173205,24605.285567527746
95,11856.658341327526,11388.751840601215,5609.86746153628,24106.394017629536
96,11863.6328694194,11419.869936468769,5786.659127334709,24044.41374008712
97,11857.609760154635,11405.815620123718,5922.389818135677,23478.966390953
98,11878.045267366597,11426.431260691397,5868.891269604761,23367.75890032967
99,11895.458960302867,11382.110790308176,5905.2702308753815,22872.605179817892
100,11911.743337001584,11421.976150429487,5835.723816211007,22875.508932551453
101,11932.951786997304,11436.276372898168,5739.401000648475,22907.742588927726
102,11942.10904118812,11397.467586647977,5736.165743255687,23409.089399627446
103,11966.995042864179,11458.126054579192,5507.358126275976,24263.85992920375
104,12021.63254174707,11501.36470132951,5469.613136619471,25173.383430960428
105,12028.435392628875,11470.864764952901,5672.063084017962,26175.755444530045
106,12063.330930613141,11521.501774890301,5528.534939250073,25198.184071645264
107,12066.953710659942,11566.00202477332,5431.223829535264,25066.641186810593
108,12075.24681326663,11594.219069330522,5557.039832176004,25798.89405371696
109,12098.59819105115,11575.071011453678,5534.009180106345,25726.452581210764
110,12098.303564056434,11587.48539208561,5699.570805987437,25738.976899519566
111,12123.90888066716,11620.782416107564,5679.430120147086,25457.09995346589
112,12147.80806471471,11679.214802717981,5745.78869281325,25589.290706780685
113,12203.177849880707,11719.771970163762,5641.444390090249,25474.64432906358
114,12223.464874906935,11701.96852755891,5733.393667225014,26296.263837610975
115,12248.00517648131,11769.967161629,5549.245132132552,27142.106725369078
116,12262.26566826108,11656.329757035477,5621.298102208429,26414.599992792886
117,12306.351069387465,11704.963849817264,5780.690612988973,25498.037409000164
118,12330.557596370925,11791.968128367887,5841.936893414562,26156.045057817177
119,12340.083301567056,11776.757769418433,5906.516472000809,25912.185979619404
120,12355.204314301378,11745.284553025158,6151.525951345897,26128.81912014905
