,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10005.983699265322,9998.63238892475,9233.831646061386,10764.666305764362
2,10034.658885036599,10047.763188115523,9031.20663727111,11124.25902015567
3,10031.20131584238,10007.730379202276,8838.606918618536,11245.365651983404
4,10043.571331601024,10023.249447760478,8980.159463381739,11375.958192973452
5,10079.835644029377,10053.684058245062,8505.70345589655,11503.178386173684
6,10085.778286901237,10053.4927067436,8191.654524453973,11917.991803265491
7,10103.909259273978,10105.865087720014,8099.719513303558,12059.201077757938
8,10133.647454959979,10104.375232863353,8092.213269076043,12617.026260831768
9,10142.179913395215,10112.983469154848,7912.182318628872,13156.860400534946
10,10158.953259694756,10129.94911202163,7702.5260975489255,13087.11435471361
11,10169.428099569564,10158.41198055452,7351.121982870827,13211.722879224259
12,10197.512729216753,10137.19821796885,7340.48327474269,13501.278895145637
13,10209.881856375197,10163.630072653827,7289.15460707322,13510.124257168876
14,10209.519313818364,10204.170791761022,7441.303110049452,13975.605832196978
15,10211.498816412037,10145.427268633048,7159.680813353313,14146.756609420101
16,10226.237334155328,10183.351027509878,7126.305383381566,14123.270350865681
17,10254.313166086895,10176.205678920072,7125.179764195478,14059.900308833616
18,10303.513120047892,10195.479823705027,7200.939263460021,14377.247057557754
19,10308.30815589999,10188.331064660813,6853.8472059102405,14750.240509539273
20,10320.486188668769,10230.704461788682,6660.399129226646,14707.224087179653
21,10357.625578192414,10302.356985337843,6458.652678113629,14833.00473134312
22,10375.490972485464,10284.11757578278,6634.2356497793635,15052.069281570193
23,10391.226402020497,10299.68136399968,6607.014995355717,14989.855716271788
24,10404.938480393792,10289.391702737887,6406.479284836804,15250.727189466557
25,10431.289139631714,10323.757226259359,6424.949133201113,15392.208342995964
26,10431.352786775451,10345.248797377626,6506.707941550541,15409.446106384137
27,10456.20628611228,10371.25122048568,6506.7035956824175,15885.075025624928
28,10480.210614584905,10349.617421896432,6677.046968233298,15960.882269605552
29,10492.484978930945,10393.521767747616,6427.147005895693,15937.610889931297
30,10502.786818289114,10419.826448743135,6276.600202240754,16512.22365033199
31,10526.94999770341,10474.944516253623,6237.01579884362,15824.277671736556
32,10550.678075206117,10529.97131856341,6464.794275157628,16060.811429556845
33,10573.883761160245,10531.099478457785,6576.437382405048,16816.434745019204
34,10602.240502533836,10499.983610417672,6414.027677809926,16180.50888208784
35,10629.936731773285,10569.10890333912,6675.626656744337,15995.792271621578
36,10641.598685666271,10491.061439108496,6460.513379139269,16435.534419592917
37,10633.563234446141,10522.96096367678,6414.667531456796,16336.449417799195
38,10639.355282672757,10493.505815052982,6469.204929498767,17377.01139066366
39,10660.80823282029,10475.429412541209,6634.931530292311,17676.281075482224
40,10676.353965049204,10560.595417258653,6475.196326169142,18045.116316349322
41,10704.38955160846,10577.276605231707,6764.587550022263,17749.422853267348
42,10725.741726783635,10579.726093532021,6410.213504672717,17760.30140675098
43,10748.71796714418,10602.940129579873,6169.790720690382,17521.45415649831
44,10752.014244948143,10536.726456857783,6308.393907054296,18046.809749908127
45,10772.748696470928,10583.817065464416,6392.1793301682765,17515.28921922825
46,10774.54280750647,10613.439916814386,6333.971687105099,17619.33762679221
47,10785.404380224725,10604.219563552384,6293.159259661096,18518.367323536728
48,10805.477347179014,10666.815252461342,6245.763461743589,18134.968167653555
49,10813.522657667969,10677.36822756641,6162.805185667162,18415.916266095745
50,10821.430605165386,10721.868408988797,6040.717675885097,18412.836807652086
51,10835.454809945779,10705.414752302338,5857.913163037468,18870.113706054977
52,10854.891364858779,10698.227664486622,5914.504837340561,19031.267332047442
53,10882.827015825098,10662.641821534065,6026.104691590962,18223.95602145914
54,10908.787731295917,10703.110181691038,6212.217810015637,18219.159945572726
55,10933.684406190538,10721.06248828197,6153.9299783978995,18360.22206085971
56,10943.60887263878,10721.214987143165,6131.651270051216,18607.93635077283
57,10972.693613853964,10713.298494917564,6119.373916510131,18553.65092314222
58,10994.592547485972,10841.7912556712,6003.273099263876,18252.018352843534
59,11024.814734579735,10867.030169070158,6139.385535252424,18389.88510246248
60,11055.789427022048,10897.144156347118,6123.9801618820475,18891.571030357816
61,11080.392871763772,10918.857446007903,5998.756473061625,19043.898717959277
62,11114.52846299634,10870.413024391904,6115.044140583341,19606.83245744462
63,11139.414050311498,10920.182822341867,6096.109131769544,19232.83100112048
64,11184.44655885454,10920.645984466995,6170.540409032083,19208.737164381044
65,11223.734585187462,10981.095737606538,6075.27878853844,19127.72172899272
66,11258.998030077513,11010.256052624442,6084.214336605669,18893.326110995033
67,11250.98523256769,11003.927532861204,6186.588926484332,19553.358732503828
68,11273.099411003928,10966.35419747753,6223.46022423505,19542.363377485235
69,11305.646047666638,11004.547353978707,6421.227348687967,20176.308155953728
70,11323.469961870032,11046.695009924937,6430.392015944485,20877.542534375807
71,11340.278029077881,11010.859074781909,6531.162723020179,20588.134633423022
72,11359.172152131096,11118.178824679651,6629.335761924829,20049.063092440425
73,11379.512375506187,11103.526578212435,6551.722973950214,20645.5016985446
74,11404.575174549735,11100.162122485217,6428.416030587727,20264.9333082376
75,11409.873870148007,11029.365929327669,6629.95099623911,21083.97497056227
76,11447.362785306834,11063.551536731997,6397.619323440335,22155.622822802132
77,11486.02092427298,11018.564831795378,6312.173119646715,21726.004180968182
78,11492.770862952002,11036.255388130232,6390.345979160753,21668.47500021416
79,11499.012149215803,11056.321095482794,6306.0408539312975,21786.837609347695
80,11489.074032649512,11066.653356039638,6469.640446832309,22080.786944772895
81,11515.066404399364,11055.178516015385,6495.519031507526,22955.59136148208
82,11530.558374409535,11067.35070666867,6452.731947465384,22807.014379423465
83,11559.314525085356,11054.335358017232,6450.540254377755,22529.68886488447
84,11573.459392641327,11162.424767995028,6406.025207515723,22237.26805250717
85,11584.04825863498,11117.88883588974,6302.184890773085,22447.084267665843
86,11576.408147224638,11057.788269504596,6373.092134699569,22877.717243861593
87,11600.505330188125,11094.078674910217,6450.548435038981,23409.632127048728
88,11622.419793006866,11058.95778595681,6443.236896963951,23246.850321164373
89,11619.603515748142,11090.943181101064,6258.304443943173,23522.66639762426
90,11649.353935511132,11075.010315873893,6134.371340546445,23180.675933553877
91,11667.632851298162,11144.032904009404,5917.867705075314,22634.678566594874
92,11695.48812520247,11130.146175634543,5786.827731494443,22846.645192740547
93,11724.75864556415,11187.682795639885,5574.088572951975,22383.581426146124
94,11755.23733501585,11253.504308928563,5546.849445051821,22295.095290073936
95,11778.612785986143,11236.006009260076,5515.122198886975,24044.75586447528
96,11819.271433459433,11316.06775049539,5538.40753366159,24139.04307410657
97,11839.14080339858,11275.417377672942,5282.318009815655,24151.985107013516
98,11852.405020424858,11346.813915059753,5223.496102006871,23328.248930272126
99,11903.510902061093,11422.902368781097,5133.690406549172,24354.446475637305
100,11935.29427746173,11451.935642001727,5187.855252119491,24960.37551129494
101,11977.414353026628,11411.43384140724,5154.309998553096,24682.429951311817
102,11985.024817721653,11512.439579949443,5304.8566658988775,25038.504783262426
103,12023.776648036219,11498.628421059031,5143.000856245493,25853.610841084206
104,12037.286887114238,11569.740780774271,5097.920557337704,25440.748741645708
105,12038.165887261686,11483.42673271281,5086.452058807314,25066.49971520576
106,12025.218854396553,11530.225573209787,5158.762082987828,24785.970367352456
107,12053.554289128559,11458.695309919025,5145.335923478283,25647.61433976131
108,12091.030631681022,11566.516148949018,5060.210059731229,26570.342641361476
109,12109.07832159146,11575.65492459434,4918.440073979113,25841.806526212302
110,12126.086427218543,11569.513814159762,5007.4360808346555,26574.487638530503
111,12147.085722391646,11591.37098186244,4911.168870314546,25740.234169486386
112,12169.192370885892,11568.862476111623,5042.692475769256,26411.95591510003
113,12191.195859128213,11577.337997580926,4853.271136565387,25656.97314064501
114,12212.603269680032,11592.200344829695,4917.600433880511,26398.626973642404
115,12244.904715094795,11629.18288957457,4827.530940013896,26977.4685295104
